Price,High,Low,Open,Volume
1868.699951171875,1869.0999755859375,1868.199951171875,1868.199951171875,14942
1869.0,1869.0999755859375,1868.5999755859375,1869.0,19025
1869.5999755859375,1869.699951171875,1868.800048828125,1869.0,24008
1868.699951171875,1869.9000244140625,1868.5999755859375,1869.5,85641
1869.300048828125,1869.9000244140625,1868.699951171875,1868.699951171875,14407
1869.300048828125,1869.5,1869.0,1869.5,31894
1869.199951171875,1869.5,1869.0,1869.300048828125,23798
1869.699951171875,1870.0,1869.0,1869.199951171875,17364
1869.4000244140625,1869.9000244140625,1869.199951171875,1869.9000244140625,22488
1869.300048828125,1869.5,1869.0,1869.5,55210
1869.300048828125,1869.5,1869.199951171875,1869.300048828125,15645
1868.9000244140625,1869.300048828125,1868.800048828125,1869.199951171875,18650
1869.0,1869.5,1868.699951171875,1868.9000244140625,14991
1869.199951171875,1869.800048828125,1869.0,1869.0,28144
1868.800048828125,1869.300048828125,1868.5999755859375,1869.199951171875,27327
1868.300048828125,1869.0999755859375,1868.199951171875,1869.0,15212
1868.0,1869.0,1868.0,1868.199951171875,31395
1868.4000244140625,1868.800048828125,1868.0,1868.4000244140625,13717
1868.5999755859375,1869.0,1868.0999755859375,1868.300048828125,13493
1867.9000244140625,1868.800048828125,1867.9000244140625,1868.699951171875,32060
1867.0,1868.0,1867.0,1867.9000244140625,37595
1866.800048828125,1867.699951171875,1866.300048828125,1867.4000244140625,186580
1867.199951171875,1867.300048828125,1866.800048828125,1866.800048828125,29961
1866.4000244140625,1867.300048828125,1866.199951171875,1867.199951171875,47452
1867.0,1867.4000244140625,1866.0,1866.199951171875,27760
1866.5,1867.300048828125,1866.5,1867.199951171875,41838
1867.0,1867.4000244140625,1866.5,1867.0,27418
1866.9000244140625,1867.0,1866.5,1866.9000244140625,20515
1866.9000244140625,1867.0,1866.300048828125,1867.0,25190
1866.9000244140625,1867.0,1866.300048828125,1867.0,41580
1866.800048828125,1867.0,1866.199951171875,1867.0,27582
1866.5999755859375,1867.0,1866.5999755859375,1866.800048828125,25347
1866.199951171875,1866.9000244140625,1866.199951171875,1866.5999755859375,22143
1865.800048828125,1866.300048828125,1865.5,1866.300048828125,29388
1865.800048828125,1866.5999755859375,1865.300048828125,1865.699951171875,198447
1866.800048828125,1867.0,1865.9000244140625,1865.9000244140625,121304
1865.5999755859375,1867.0999755859375,1865.4000244140625,1866.9000244140625,125009
1866.5999755859375,1866.800048828125,1865.0,1865.5999755859375,135830
1866.5,1866.800048828125,1866.5,1866.800048828125,53357
1866.4000244140625,1866.800048828125,1865.5999755859375,1866.5999755859375,105432
1865.199951171875,1866.800048828125,1865.199951171875,1866.800048828125,107430
1866.0,1866.4000244140625,1865.0,1865.199951171875,177561
1865.800048828125,1866.0,1865.4000244140625,1865.9000244140625,38682
1865.199951171875,1866.199951171875,1865.0999755859375,1865.800048828125,35711
1865.300048828125,1865.699951171875,1865.0999755859375,1865.199951171875,28334
1865.0999755859375,1865.4000244140625,1865.0,1865.4000244140625,98350
1865.199951171875,1865.300048828125,1865.0,1865.0999755859375,44039
1865.5,1865.5999755859375,1865.0999755859375,1865.199951171875,29487
1865.5999755859375,1865.699951171875,1865.199951171875,1865.5999755859375,31338
1865.5,1865.9000244140625,1865.5,1865.5999755859375,35608
1865.4000244140625,1865.5999755859375,1865.199951171875,1865.5999755859375,37018
1865.300048828125,1865.9000244140625,1865.199951171875,1865.5,39628
1864.5999755859375,1865.300048828125,1864.5,1865.199951171875,132889
1864.5,1864.9000244140625,1864.0999755859375,1864.5,48046
1864.5999755859375,1865.0,1864.4000244140625,1864.5999755859375,43721
1864.699951171875,1865.0999755859375,1864.5999755859375,1864.5999755859375,37327
1864.0,1864.800048828125,1864.0,1864.699951171875,60781
1863.300048828125,1864.199951171875,1863.0,1864.0,215194
1863.800048828125,1864.9000244140625,1863.199951171875,1863.300048828125,47716
1864.800048828125,1865.0,1863.800048828125,1863.800048828125,35451
1864.5,1864.9000244140625,1864.0999755859375,1864.800048828125,48280
1864.699951171875,1864.800048828125,1864.300048828125,1864.699951171875,39645
1864.5,1865.0,1864.5,1864.5999755859375,40841
1863.5,1864.5999755859375,1863.0999755859375,1864.4000244140625,91394
1864.199951171875,1864.5,1863.5,1863.5,40528
1863.199951171875,1864.5,1863.199951171875,1864.199951171875,53982
1863.5999755859375,1863.699951171875,1863.0,1863.199951171875,67356
1863.0999755859375,1863.9000244140625,1863.0,1863.699951171875,114139
1863.0999755859375,1863.699951171875,1863.0,1863.0,65058
1863.5999755859375,1863.5999755859375,1863.0,1863.0999755859375,58730
1863.0,1863.5999755859375,1862.5,1863.5999755859375,98924
1863.800048828125,1863.800048828125,1863.0,1863.199951171875,38472
1862.699951171875,1863.800048828125,1862.5999755859375,1863.699951171875,173711
1863.5,1863.699951171875,1862.800048828125,1862.800048828125,175623
1863.4000244140625,1863.4000244140625,1863.199951171875,1863.4000244140625,112288
1864.699951171875,1864.9000244140625,1863.4000244140625,1863.4000244140625,138339
1863.5999755859375,1864.9000244140625,1863.5,1864.800048828125,201861
1863.5999755859375,1863.699951171875,1863.5,1863.5999755859375,94606
1864.300048828125,1864.800048828125,1863.5999755859375,1863.699951171875,214321
1864.699951171875,1864.9000244140625,1864.0,1864.199951171875,167183
1864.5,1864.800048828125,1864.300048828125,1864.699951171875,140992
1864.0999755859375,1864.4000244140625,1863.5999755859375,1864.4000244140625,208205
1863.800048828125,1864.0999755859375,1862.9000244140625,1864.0999755859375,168751
1865.0999755859375,1865.300048828125,1864.0,1864.0,293572
1865.0999755859375,1865.0999755859375,1864.800048828125,1865.0999755859375,114202
1863.5999755859375,1865.0999755859375,1863.300048828125,1865.0999755859375,243722
1864.5,1864.5,1863.300048828125,1863.4000244140625,163065
1865.0999755859375,1865.199951171875,1864.4000244140625,1864.5,176377
1865.5,1865.5999755859375,1865.0999755859375,1865.199951171875,146714
1865.5,1865.5999755859375,1863.800048828125,1865.5,263532
1865.199951171875,1865.300048828125,1864.5999755859375,1864.5999755859375,131505
1865.0,1865.300048828125,1863.9000244140625,1865.199951171875,191242
1865.699951171875,1866.0,1865.199951171875,1865.199951171875,164876
1865.4000244140625,1866.0,1865.300048828125,1865.5999755859375,138302
